"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-03-01,"AA","1","JFK","LAX","0900",36.00,0.00,0.00,0.00,36.00,0.00,0.00,
2014-03-01,"AA","2","LAX","JFK","0925",-41.00,0.00,,,,,,
2014-03-01,"AA","3","JFK","LAX","1200",14.00,0.00,,,,,,
2014-03-01,"AA","4","LAX","JFK","1220",-11.00,0.00,,,,,,
2014-03-01,"AA","9","JFK","LAX","0655",4.00,0.00,,,,,,
2014-03-01,"AA","10","LAX","JFK","2115",-24.00,0.00,,,,,,
2014-03-01,"AA","12","LAX","JFK","1105",-35.00,0.00,,,,,,
2014-03-01,"AA","16","SFO","JFK","1250",-26.00,0.00,,,,,,
2014-03-01,"AA","19","JFK","LAX","1030",77.00,0.00,47.00,0.00,30.00,0.00,0.00,
2014-03-01,"AA","20","SFO","JFK","1510",-4.00,0.00,,,,,,
2014-03-01,"AA","21","JFK","LAX","1900",66.00,0.00,50.00,0.00,16.00,0.00,0.00,
2014-03-01,"AA","22","LAX","JFK","1500",27.00,0.00,2.00,0.00,0.00,0.00,25.00,
2014-03-01,"AA","24","SFO","JFK","0705",-33.00,0.00,,,,,,
2014-03-01,"AA","29","LGA","PBI","0720",100.00,0.00,89.00,0.00,11.00,0.00,0.00,
2014-03-01,"AA","29","PBI","LGA","1115",106.00,0.00,8.00,0.00,0.00,0.00,98.00,
2014-03-01,"AA","30","LAX","JFK","2325",-46.00,0.00,,,,,,
2014-03-01,"AA","32","LAX","JFK","1345",-15.00,0.00,,,,,,
2014-03-01,"AA","33","JFK","LAX","0800",29.00,0.00,10.00,0.00,19.00,0.00,0.00,
2014-03-01,"AA","34","LAX","JFK","0805",13.00,0.00,,,,,,
2014-03-01,"AA","133","JFK","LAX","1545",1.00,0.00,,,,,,
2014-03-01,"AA","145","JFK","MIA","1510",-48.00,0.00,,,,,,
2014-03-01,"AA","256","BOS","JFK","1910",-18.00,0.00,,,,,,
2014-03-01,"AA","256","JFK","BOS","1700",-15.00,0.00,,,,,,
2014-03-01,"AA","260","SJU","JFK","0815",-23.00,0.00,,,,,,
2014-03-01,"AA","179","JFK","SFO","1030",57.00,0.00,0.00,0.00,57.00,0.00,0.00,
2014-03-01,"AA","181","JFK","LAX","1630",20.00,0.00,0.00,0.00,20.00,0.00,0.00,
2014-03-01,"AA","198","ORD","JFK","1300",-24.00,0.00,,,,,,
2014-03-01,"AA","199","JFK","ORD","1715",70.00,0.00,0.00,0.00,70.00,0.00,0.00,
2014-03-01,"AA","326","ORD","LGA","2045",79.00,0.00,0.00,47.00,0.00,0.00,32.00,
2014-03-01,"AA","327","LGA","ORD","1145",-6.00,0.00,,,,,,
2014-03-01,"AA","94","SJU","JFK","1050",-2.00,0.00,,,,,,
2014-03-01,"AA","95","JFK","SJU","1630",67.00,0.00,67.00,0.00,0.00,0.00,0.00,
2014-03-01,"AA","117","JFK","LAX","1345",11.00,0.00,,,,,,
2014-03-01,"AA","118","LAX","JFK","0700",-32.00,0.00,,,,,,
2014-03-01,"AA","120","LAS","JFK","1025",25.00,0.00,8.00,0.00,0.00,0.00,17.00,
